t,data,preco_real,preco_previsto,retorno_pred,acao,energia,pontuacao,erro
10030,2024-12-09 23:00:00+00:00,97276.46875,97294.76619674312,0.00018809735774993896,0,0.0,37.0,0.003541211597621441
10031,2024-12-10 00:00:00+00:00,97867.90625,97936.51338236895,0.0007010176777839661,1,0.0,37.0,0.011541487649083138
10032,2024-12-10 01:00:00+00:00,97946.0,97911.2067617476,-0.0003552287817001343,0,0.0,37.0,0.010250626131892204
10033,2024-12-10 02:00:00+00:00,96660.0078125,96681.60436578305,0.00022342801094055176,0,0.0,37.0,0.008323957212269306
10034,2024-12-10 03:00:00+00:00,96931.9921875,96908.06065868499,-0.0002468898892402649,0,0.00028738791942596435,38.0,0.002728153020143509
10035,2024-12-10 04:00:00+00:00,97031.96875,96996.26324390923,-0.00036797672510147095,-1,0.0,38.0,0.006645705550909042
10036,2024-12-10 05:00:00+00:00,96941.9921875,97008.81698963931,0.0006893277168273926,-1,0.0,38.0,0.008643677458167076
10037,2024-12-10 06:00:00+00:00,97464.6015625,97463.24072391295,-1.3962388038635254e-05,1,0.008347872112691402,39.0,0.0007130319718271494
10038,2024-12-10 07:00:00+00:00,97196.4375,97162.94898754545,-0.0003445446491241455,0,0.0,39.0,0.005412605125457048
10039,2024-12-10 08:00:00+00:00,97385.71875,97413.67027398502,0.00028701871633529663,-1,0.008409512628614902,40.0,0.0006976218428462744
10040,2024-12-10 09:00:00+00:00,97489.1015625,97582.83708271862,0.00096149742603302,-1,0.0,40.0,0.005556776188313961
10041,2024-12-10 10:00:00+00:00,97687.5,97794.78994058445,0.0010982975363731384,1,0.004625783701241016,41.0,0.001643554074689746
10042,2024-12-10 11:00:00+00:00,97722.5234375,97679.73944012646,-0.000437811017036438,0,0.0,41.0,0.02111830748617649
10043,2024-12-10 12:00:00+00:00,97161.5,97172.63879681006,0.00011464208364486694,-1,0.0,41.0,0.005663170013576746
10044,2024-12-10 13:00:00+00:00,97738.359375,97750.58889215696,0.00012512505054473877,1,0.0,41.0,0.03629656136035919
10045,2024-12-10 14:00:00+00:00,97820.0078125,97808.74760758353,-0.00011511147022247314,1,0.0,41.0,0.03047880157828331
10046,2024-12-10 15:00:00+00:00,95658.7890625,95659.47754375811,7.197260856628418e-06,1,0.0074673401460051535,42.0,0.0009331649634987116
10047,2024-12-10 16:00:00+00:00,96319.7734375,96213.0347969681,-0.0011081695556640625,1,0.011442449742555618,43.0,0.0018062226008623838
10048,2024-12-10 17:00:00+00:00,94484.0078125,94512.00292222714,0.0002962946891784668,1,0.0,43.0,0.022125862538814545
